annee,temp_moy_c,temp_anomalie_c,jours_chauds_30,jours_gel,precip_mm,source,co2_ppm,ch4_ppb,ges_total_mtco2eq,empreinte_totale_tco2eq,part_importee_tco2eq,anomalie_temp_c,trend_10ans,co2_delta_ann,score_risque_climatique,temp_moy_c_lag1,temp_moy_c_lag2,temp_moy_c_lag3,temp_moy_c_lag5,temp_moy_c_lag10,co2_ppm_lag1,co2_ppm_lag2,co2_ppm_lag3,co2_ppm_lag5,co2_ppm_lag10,anomalie_temp_c_lag1,anomalie_temp_c_lag2,anomalie_temp_c_lag3,anomalie_temp_c_lag5,anomalie_temp_c_lag10
1910,12.02,0.021,11.0,64,674.6,simule_base_meteofrance,299.33,986.4,,,,-1.049,-0.432,0.33,27.8,12.26,11.99,12.29,12.01,12.12,299.0,298.67,298.33,297.67,296.0,-0.809,-1.079,-0.779,-1.059,-0.949
1911,12.03,0.034,15.0,55,682.0,simule_base_meteofrance,299.67,994.1,,,,-1.039,-0.497,0.34,30.6,12.02,12.26,11.99,12.48,11.98,299.33,299.0,298.67,298.0,296.33,-1.049,-0.809,-1.079,-0.589,-1.089
1912,12.23,0.225,16.0,57,620.9,simule_base_meteofrance,300.0,995.5,,,,-0.839,-0.31,0.33,33.6,12.03,12.02,12.26,12.29,12.19,299.67,299.33,299.0,298.33,296.67,-1.039,-1.049,-0.809,-0.779,-0.879
1913,11.796,-0.20396,14.0,59,736.7,simule_base_meteofrance,300.33,1007.2,,,,-1.273,-0.002,0.33,27.2,12.23,12.03,12.02,11.99,12.42,300.0,299.67,299.33,298.67,297.0,-0.839,-1.039,-1.049,-1.079,-0.649
1914,11.796,-0.20396,12.0,66,639.7,simule_base_meteofrance,300.67,1005.0,,,,-1.273,-0.055,0.34,25.9,11.796,12.23,12.03,12.26,12.0,300.33,300.0,299.67,299.0,297.33,-1.273,-0.839,-1.039,-0.809,-1.069
1915,12.07,0.065,12.0,58,709.8,simule_base_meteofrance,301.0,1032.6,,,,-0.999,0.008,0.33,29.2,11.796,11.796,12.23,12.02,12.01,300.67,300.33,300.0,299.33,297.67,-1.273,-1.273,-0.839,-1.049,-1.059
1916,11.97,-0.034,13.0,64,835.3,simule_base_meteofrance,301.33,1030.5,,,,-1.099,0.352,0.33,28.7,12.07,11.796,11.796,12.03,12.48,301.0,300.67,300.33,299.67,298.0,-0.999,-1.273,-1.273,-1.039,-0.589
1917,12.31,0.312,13.0,58,615.3,simule_base_meteofrance,301.67,1044.3,,,,-0.759,0.404,0.34,32.8,11.97,12.07,11.796,12.23,12.29,301.33,301.0,300.67,300.0,298.33,-1.099,-0.999,-1.273,-0.839,-0.779
1918,12.02,0.02,14.0,62,688.2,simule_base_meteofrance,302.0,1051.6,,,,-1.049,0.614,0.33,30.0,12.31,11.97,12.07,11.796,11.99,301.67,301.33,301.0,300.33,298.67,-0.759,-1.099,-0.999,-1.273,-1.079
1919,11.91,-0.093,15.0,61,675.0,simule_base_meteofrance,302.33,1063.5,,,,-1.159,0.328,0.33,29.4,12.02,12.31,11.97,11.796,12.26,302.0,301.67,301.33,300.67,299.0,-1.049,-0.759,-1.099,-1.273,-0.809
1920,12.64,0.641,18.0,58,665.1,simule_base_meteofrance,302.67,1062.8,,,,-0.429,0.147,0.34,40.0,11.91,12.02,12.31,12.07,12.02,302.33,302.0,301.67,301.0,299.33,-1.159,-1.049,-0.759,-0.999,-1.049
1921,12.23,0.231,14.0,53,732.9,simule_base_meteofrance,303.0,1074.3,,,,-0.839,0.199,0.33,32.6,12.64,11.91,12.02,11.97,12.03,302.67,302.33,302.0,301.33,299.67,-0.429,-1.159,-1.049,-1.099,-1.039
1922,12.32,0.318,15.0,56,750.0,simule_base_meteofrance,303.33,1084.3,,,,-0.749,-0.016,0.33,34.3,12.23,12.64,11.91,12.31,12.23,303.0,302.67,302.33,301.67,300.0,-0.839,-0.429,-1.159,-0.759,-0.839
1923,11.96,-0.041,17.0,63,733.0,simule_base_meteofrance,303.67,1094.1,,,,-1.109,0.197,0.34,31.4,12.32,12.23,12.64,12.02,11.796,303.33,303.0,302.67,302.0,300.33,-0.749,-0.839,-0.429,-1.049,-1.273
1924,12.19,0.193,14.0,60,658.0,simule_base_meteofrance,304.0,1103.8,,,,-0.879,0.073,0.33,32.2,11.96,12.32,12.23,11.91,11.796,303.67,303.33,303.0,302.33,300.67,-1.109,-0.749,-0.839,-1.159,-1.273
1925,12.37,0.37,16.0,55,815.6,simule_base_meteofrance,304.33,1103.9,,,,-0.699,-0.101,0.33,35.6,12.19,11.96,12.32,12.64,12.07,304.0,303.67,303.33,302.67,301.0,-0.879,-1.109,-0.749,-0.429,-0.999
1926,12.07,0.069,15.0,55,605.2,simule_base_meteofrance,304.67,1111.2,,,,-0.999,0.129,0.34,31.5,12.37,12.19,11.96,12.23,11.97,304.33,304.0,303.67,303.0,301.33,-0.699,-0.879,-1.109,-0.839,-1.099
1927,12.46,0.464,18.0,49,641.8,simule_base_meteofrance,305.0,1129.6,,,,-0.609,0.476,0.33,38.0,12.07,12.37,12.19,12.32,12.31,304.67,304.33,304.0,303.33,301.67,-0.999,-0.699,-0.879,-0.749,-0.759
1928,12.23,0.234,19.0,62,701.7,simule_base_meteofrance,305.33,1120.8,,,,-0.839,0.557,0.33,36.0,12.46,12.07,12.37,11.96,12.02,305.0,304.67,304.33,303.67,302.0,-0.609,-0.999,-0.699,-1.109,-1.049
1929,12.32,0.325,16.0,60,697.5,simule_base_meteofrance,305.67,1147.1,,,,-0.749,0.247,0.34,35.1,12.23,12.46,12.07,12.19,11.91,305.33,305.0,304.67,304.0,302.33,-0.839,-0.609,-0.999,-0.879,-1.159
1930,12.26,0.261,15.0,55,717.1,simule_base_meteofrance,306.0,1146.0,,,,-0.809,0.325,0.33,33.8,12.32,12.23,12.46,12.37,12.64,305.67,305.33,305.0,304.33,302.67,-0.749,-0.839,-0.609,-0.699,-0.429
1931,12.89,0.888,18.0,57,771.5,simule_base_meteofrance,306.33,1155.7,,,,-0.179,0.192,0.33,43.3,12.26,12.32,12.23,12.07,12.23,306.0,305.67,305.33,304.67,303.0,-0.809,-0.749,-0.839,-0.999,-0.839
1932,12.44,0.435,17.0,47,686.3,simule_base_meteofrance,306.67,1160.6,,,,-0.629,0.09,0.34,37.3,12.89,12.26,12.32,12.46,12.32,306.33,306.0,305.67,305.0,303.33,-0.179,-0.809,-0.749,-0.609,-0.749
1933,12.19,0.188,20.0,54,697.7,simule_base_meteofrance,307.0,1172.0,,,,-0.879,-0.099,0.33,36.3,12.44,12.89,12.26,12.23,11.96,306.67,306.33,306.0,305.33,303.67,-0.629,-0.179,-0.809,-0.839,-1.109
1934,12.67,0.672,20.0,61,662.0,simule_base_meteofrance,307.33,1186.9,,,,-0.399,-0.296,0.33,42.0,12.19,12.44,12.89,12.32,12.19,307.0,306.67,306.33,305.67,304.0,-0.879,-0.629,-0.179,-0.749,-0.879
1935,12.17,0.175,20.0,59,720.9,simule_base_meteofrance,307.67,1192.6,,,,-0.899,-0.215,0.34,36.1,12.67,12.19,12.44,12.26,12.37,307.33,307.0,306.67,306.0,304.33,-0.399,-0.879,-0.629,-0.809,-0.699
1936,12.55,0.546,16.0,56,675.4,simule_base_meteofrance,308.0,1199.5,,,,-0.519,-0.123,0.33,38.1,12.17,12.67,12.19,12.89,12.07,307.67,307.33,307.0,306.33,304.67,-0.899,-0.399,-0.879,-0.179,-0.999
1937,12.02,0.017,15.0,55,675.1,simule_base_meteofrance,308.33,1205.7,,,,-1.049,0.261,0.33,31.2,12.55,12.17,12.67,12.44,12.46,308.0,307.67,307.33,306.67,305.0,-0.519,-0.899,-0.399,-0.629,-0.609
1938,12.19,0.189,17.0,58,718.0,simule_base_meteofrance,308.67,1206.3,,,,-0.879,0.352,0.34,34.5,12.02,12.55,12.17,12.19,12.23,308.33,308.0,307.67,307.0,305.33,-1.049,-0.519,-0.899,-0.879,-0.839
1939,12.58,0.584,18.0,54,742.3,simule_base_meteofrance,309.0,1217.5,,,,-0.489,0.242,0.33,39.8,12.19,12.02,12.55,12.67,12.32,308.67,308.33,308.0,307.33,305.67,-0.879,-1.049,-0.519,-0.399,-0.749
1940,12.73,0.733,17.0,48,579.9,simule_base_meteofrance,309.33,1228.3,,,,-0.339,0.26,0.33,41.0,12.58,12.19,12.02,12.17,12.26,309.0,308.67,308.33,307.67,306.0,-0.489,-0.879,-1.049,-0.899,-0.809
1941,12.6,0.605,16.0,55,708.1,simule_base_meteofrance,309.67,1240.5,,,,-0.469,0.113,0.34,38.8,12.73,12.58,12.19,12.55,12.89,309.33,309.0,308.67,308.0,306.33,-0.339,-0.489,-0.879,-0.519,-0.179
1942,12.55,0.547,18.0,56,676.3,simule_base_meteofrance,310.0,1246.8,,,,-0.519,0.23,0.33,39.5,12.6,12.73,12.58,12.02,12.44,309.67,309.33,309.0,308.33,306.67,-0.469,-0.339,-0.489,-1.049,-0.629
1943,12.51,0.514,18.0,59,737.0,simule_base_meteofrance,310.33,1259.7,,,,-0.559,0.21,0.33,39.1,12.55,12.6,12.73,12.19,12.19,310.0,309.67,309.33,308.67,307.0,-0.519,-0.469,-0.339,-0.879,-0.879
1944,12.23,0.234,18.0,48,676.8,simule_base_meteofrance,310.67,1265.4,,,,-0.839,0.102,0.34,35.8,12.51,12.55,12.6,12.58,12.67,310.33,310.0,309.67,309.0,307.33,-0.559,-0.519,-0.469,-0.489,-0.399
1945,12.44,0.437,17.0,54,754.2,simule_base_meteofrance,311.0,1271.5,,,,-0.629,-0.09,0.33,37.7,12.23,12.51,12.55,12.73,12.17,310.67,310.33,310.0,309.33,307.67,-0.839,-0.559,-0.519,-0.339,-0.899
1946,12.52,0.515,20.0,54,655.1,simule_base_meteofrance,311.33,1290.9,,,,-0.549,0.155,0.33,40.6,12.44,12.23,12.51,12.6,12.55,311.0,310.67,310.33,309.67,308.0,-0.629,-0.839,-0.559,-0.469,-0.519
1947,12.91,0.909,20.0,49,577.1,simule_base_meteofrance,311.67,1289.8,,,,-0.159,0.216,0.34,45.2,12.52,12.44,12.23,12.55,12.02,311.33,311.0,310.67,310.0,308.33,-0.549,-0.629,-0.839,-0.519,-1.049
1948,12.74,0.744,18.0,56,741.0,simule_base_meteofrance,312.0,1293.8,,,,-0.329,0.21,0.33,41.9,12.91,12.52,12.44,12.51,12.19,311.67,311.33,311.0,310.33,308.67,-0.159,-0.549,-0.629,-0.559,-0.879
1949,12.23,0.231,17.0,57,646.0,simule_base_meteofrance,312.33,1313.5,,,,-0.839,0.365,0.33,35.3,12.74,12.91,12.52,12.23,12.58,312.0,311.67,311.33,310.67,309.0,-0.329,-0.159,-0.549,-0.839,-0.489
1950,12.77,0.767,18.0,52,608.9,simule_base_meteofrance,312.67,1318.5,,,,-0.299,0.353,0.34,42.4,12.23,12.74,12.91,12.44,12.73,312.33,312.0,311.67,311.0,309.33,-0.839,-0.329,-0.159,-0.629,-0.339
1951,12.6,0.603,22.0,62,688.5,simule_base_meteofrance,313.0,1329.8,,,,-0.469,0.383,0.33,43.0,12.77,12.23,12.74,12.52,12.6,312.67,312.33,312.0,311.33,309.67,-0.299,-0.839,-0.329,-0.549,-0.469
1952,12.54,0.544,19.0,52,675.5,simule_base_meteofrance,313.33,1328.4,,,,-0.529,0.165,0.33,40.3,12.6,12.77,12.23,12.91,12.55,313.0,312.67,312.33,311.67,310.0,-0.469,-0.299,-0.839,-0.159,-0.519
1953,12.88,0.88,21.0,51,728.3,simule_base_meteofrance,313.67,1342.1,,,,-0.189,0.278,0.34,45.7,12.54,12.6,12.77,12.74,12.51,313.33,313.0,312.67,312.0,310.33,-0.529,-0.469,-0.299,-0.329,-0.559
1954,13.0,0.998,22.0,51,731.6,simule_base_meteofrance,314.0,1338.2,,,,-0.069,0.402,0.33,47.8,12.88,12.54,12.6,12.23,12.23,313.67,313.33,313.0,312.33,310.67,-0.189,-0.529,-0.469,-0.839,-0.839
1955,12.99,0.987,19.0,50,691.5,simule_base_meteofrance,314.33,1357.7,,,,-0.079,0.261,0.33,45.8,13.0,12.88,12.54,12.77,12.44,314.0,313.67,313.33,312.67,311.0,-0.069,-0.189,-0.529,-0.299,-0.629
1956,12.56,0.558,20.0,50,642.2,simule_base_meteofrance,314.67,1361.2,,,,-0.509,0.19,0.34,41.3,12.99,13.0,12.88,12.6,12.52,314.33,314.0,313.67,313.0,311.33,-0.079,-0.069,-0.189,-0.469,-0.549
1957,12.7,0.704,19.0,47,700.6,simule_base_meteofrance,315.0,1363.5,,,,-0.369,0.064,0.33,42.4,12.56,12.99,13.0,12.54,12.91,314.67,314.33,314.0,313.33,311.67,-0.509,-0.079,-0.069,-0.529,-0.159
1958,12.88,0.878,19.0,52,694.2,simule_base_meteofrance,,1383.7,,,,-0.189,-0.246,,18.5,12.7,12.56,12.99,12.88,12.74,315.0,314.67,314.33,313.67,312.0,-0.369,-0.509,-0.079,-0.189,-0.329
1959,13.05,1.053,19.0,53,714.2,simule_base_meteofrance,315.98,1377.7,,,,-0.019,-0.338,,46.6,12.88,12.7,12.56,13.0,12.23,,315.0,314.67,314.0,312.33,-0.189,-0.369,-0.509,-0.069,-0.839
1960,12.7,0.703,22.0,43,641.7,simule_base_meteofrance,316.91,1385.4,,,,-0.369,-0.028,0.93,44.5,13.05,12.88,12.7,12.99,12.77,315.98,,315.0,314.33,312.67,-0.019,-0.189,-0.369,-0.079,-0.299
1961,12.79,0.79,21.0,52,665.2,simule_base_meteofrance,317.64,1405.1,,,,-0.279,0.348,0.73,45.0,12.7,13.05,12.88,12.56,12.6,316.91,315.98,,314.67,313.0,-0.369,-0.019,-0.189,-0.509,-0.469
1962,12.57,0.573,22.0,52,710.5,simule_base_meteofrance,318.45,1414.4,,,,-0.499,0.222,0.81,43.1,12.79,12.7,13.05,12.7,12.54,317.64,316.91,315.98,315.0,313.33,-0.279,-0.369,-0.019,-0.369,-0.529
1963,12.56,0.565,21.0,54,747.1,simule_base_meteofrance,318.99,1424.6,,,,-0.509,0.303,0.54,42.3,12.57,12.79,12.7,12.88,12.88,318.45,317.64,316.91,,313.67,-0.499,-0.279,-0.369,-0.189,-0.189
1964,13.08,1.081,22.0,57,732.8,simule_base_meteofrance,319.62,1431.7,,,,0.011,0.365,0.63,49.2,12.56,12.57,12.79,13.05,13.0,318.99,318.45,317.64,315.98,314.0,-0.509,-0.499,-0.279,-0.019,-0.069
1965,13.23,1.23,22.0,55,688.4,simule_base_meteofrance,320.04,1443.6,,,,0.161,0.392,0.42,51.0,13.08,12.56,12.57,12.7,12.99,319.62,318.99,318.45,316.91,314.33,0.011,-0.509,-0.499,-0.369,-0.079
1966,12.89,0.887,20.0,49,659.7,simule_base_meteofrance,321.37,1448.0,,,,-0.179,0.366,1.33,45.8,13.23,13.08,12.56,12.79,12.56,320.04,319.62,318.99,317.64,314.67,0.161,0.011,-0.509,-0.279,-0.509
1967,13.17,1.169,21.0,48,704.0,simule_base_meteofrance,322.18,1452.1,,,,0.101,0.527,0.81,49.8,12.89,13.23,13.08,12.57,12.7,321.37,320.04,319.62,318.45,315.0,-0.179,0.161,0.011,-0.499,-0.369
1968,13.02,1.023,23.0,54,629.0,simule_base_meteofrance,323.05,1460.6,,,,-0.049,0.264,0.87,49.4,13.17,12.89,13.23,12.56,12.88,322.18,321.37,320.04,318.99,,0.101,-0.179,0.161,-0.509,-0.189
1969,12.78,0.785,25.0,49,642.5,simule_base_meteofrance,324.62,1467.8,,,,-0.289,0.169,1.57,48.0,13.02,13.17,12.89,13.08,13.05,323.05,322.18,321.37,319.62,315.98,-0.049,0.101,-0.179,0.011,-0.019
1970,13.05,1.05,24.0,46,758.6,simule_base_meteofrance,325.68,1479.0,,,,-0.019,-0.242,1.06,50.6,12.78,13.02,13.17,13.23,12.7,324.62,323.05,322.18,320.04,316.91,-0.289,-0.049,0.101,0.161,-0.369
1971,13.36,1.358,21.0,60,702.9,simule_base_meteofrance,326.32,1480.3,,,,0.291,0.009,0.64,52.4,13.05,12.78,13.02,12.89,12.79,325.68,324.62,323.05,321.37,317.64,-0.019,-0.289,-0.049,-0.179,-0.279
1972,12.98,0.978,21.0,50,665.2,simule_base_meteofrance,327.46,1495.7,,,,-0.089,0.377,1.14,48.0,13.36,13.05,12.78,13.17,12.57,326.32,325.68,324.62,322.18,318.45,0.291,-0.019,-0.289,0.101,-0.499
1973,13.39,1.392,21.0,48,723.8,simule_base_meteofrance,329.68,1501.8,,,,0.321,0.334,2.22,53.1,12.98,13.36,13.05,13.02,12.56,327.46,326.32,325.68,323.05,318.99,-0.089,0.291,-0.019,-0.049,-0.509
1974,12.36,0.36,22.0,42,746.4,simule_base_meteofrance,330.19,1511.9,,,,-0.709,0.274,0.51,41.5,13.39,12.98,13.36,12.78,13.08,329.68,327.46,326.32,324.62,319.62,0.321,-0.089,0.291,-0.289,0.011
1975,13.23,1.234,24.0,54,659.6,simule_base_meteofrance,331.13,1520.1,,,,0.161,-0.227,0.94,53.2,12.36,13.39,12.98,13.05,13.23,330.19,329.68,327.46,325.68,320.04,-0.709,0.321,-0.089,-0.019,0.161
1976,13.86,1.864,33.0,46,660.2,simule_base_meteofrance,332.03,1514.7,,,,0.791,-0.28,0.9,66.6,13.23,12.36,13.39,13.36,12.89,331.13,330.19,329.68,326.32,321.37,0.161,-0.709,0.321,0.291,-0.179
1977,12.98,0.981,27.0,50,653.7,simule_base_meteofrance,333.84,1530.7,,,,-0.089,-0.038,1.81,52.4,13.86,13.23,12.36,12.98,13.17,332.03,331.13,330.19,327.46,322.18,0.791,0.161,-0.709,-0.089,0.101
1978,13.09,1.092,23.0,54,729.3,simule_base_meteofrance,335.41,1543.0,,,,0.021,0.129,1.57,51.3,12.98,13.86,13.23,13.39,13.02,333.84,332.03,331.13,329.68,323.05,-0.089,0.791,0.161,0.321,-0.049
1979,12.59,0.586,25.0,46,729.6,simule_base_meteofrance,336.84,1551.5,,,,-0.479,0.245,1.43,46.8,13.09,12.98,13.86,12.36,12.78,335.41,333.84,332.03,330.19,324.62,0.021,-0.089,0.791,-0.709,-0.289
1980,13.04,1.042,26.0,50,749.9,simule_base_meteofrance,338.76,1561.3,,,,-0.029,-0.312,1.92,52.9,12.59,13.09,12.98,13.23,13.05,336.84,335.41,333.84,331.13,325.68,-0.479,0.021,-0.089,0.161,-0.019
1981,13.2,1.2,25.0,56,730.8,simule_base_meteofrance,340.12,1569.8,,,,0.131,-0.311,1.36,54.3,13.04,12.59,13.09,13.86,13.36,338.76,336.84,335.41,332.03,326.32,-0.029,-0.479,0.021,0.791,0.291
1982,13.49,1.494,26.0,40,598.6,simule_base_meteofrance,341.48,1584.1,,,,0.421,0.335,1.36,58.5,13.2,13.04,12.59,12.98,12.98,340.12,338.76,336.84,333.84,327.46,0.131,-0.029,-0.479,-0.089,-0.089
1983,13.01,1.008,25.0,46,694.0,simule_base_meteofrance,343.15,1586.3,,,,-0.059,0.372,1.67,52.3,13.49,13.2,13.04,13.09,13.39,341.48,340.12,338.76,335.41,329.68,0.421,0.131,-0.029,0.021,0.321
1984,12.95,0.949,24.0,46,626.8,simule_base_meteofrance,344.87,1591.4,,,,-0.119,0.338,1.72,51.0,13.01,13.49,13.2,12.59,12.36,343.15,341.48,340.12,336.84,330.19,-0.059,0.421,0.131,-0.479,-0.709
1985,13.04,1.04,27.0,48,653.8,simule_base_meteofrance,346.35,1593.3,,,,-0.029,0.125,1.48,54.2,12.95,13.01,13.49,13.04,13.23,344.87,343.15,341.48,338.76,331.13,-0.119,-0.059,0.421,-0.029,0.161
1986,13.41,1.408,24.0,49,687.7,simule_base_meteofrance,347.61,1602.7,,,,0.341,0.072,1.26,56.7,13.04,12.95,13.01,13.2,13.86,346.35,344.87,343.15,340.12,332.03,-0.029,-0.119,-0.059,0.131,0.791
1987,13.27,1.275,27.0,45,720.7,simule_base_meteofrance,349.31,1620.4,,,,0.201,0.224,1.7,57.1,13.41,13.04,12.95,13.49,12.98,347.61,346.35,344.87,341.48,333.84,0.341,-0.029,-0.119,0.421,-0.089
1988,13.07,1.074,25.0,46,634.2,simule_base_meteofrance,351.69,1631.3,,,,0.001,0.316,2.38,53.7,13.27,13.41,13.04,13.01,13.09,349.31,347.61,346.35,343.15,335.41,0.201,0.341,-0.029,-0.059,0.021
1989,13.35,1.348,25.0,46,562.2,simule_base_meteofrance,353.2,1642.0,,,,0.281,0.192,1.51,57.1,13.07,13.27,13.41,12.95,12.59,351.69,349.31,347.61,344.87,336.84,0.001,0.201,0.341,-0.119,-0.479
1990,13.26,1.258,27.0,47,687.3,simule_base_meteofrance,354.45,1638.4,558.3,,,0.191,0.005,1.25,57.5,13.35,13.07,13.27,13.04,13.04,353.2,351.69,349.31,346.35,338.76,0.281,0.001,0.201,-0.029,-0.029
1991,13.49,1.49,24.0,49,810.2,simule_base_meteofrance,355.7,1649.2,549.3199999999999,,,0.421,-0.287,1.25,58.3,13.26,13.35,13.07,13.41,13.2,354.45,353.2,351.69,347.61,340.12,0.191,0.281,0.001,0.341,0.131
1992,13.09,1.086,25.0,52,667.6,simule_base_meteofrance,356.54,1660.2,544.84,,,0.021,-0.075,0.84,54.3,13.49,13.26,13.35,13.27,13.49,355.7,354.45,353.2,349.31,341.48,0.421,0.191,0.281,0.201,0.421
1993,13.19,1.193,26.0,52,679.8,simule_base_meteofrance,357.21,1677.5,537.26,,,0.121,0.052,0.67,56.2,13.09,13.49,13.26,13.07,13.01,356.54,355.7,354.45,351.69,343.15,0.021,0.421,0.191,0.001,-0.059
1994,13.19,1.191,25.0,51,766.4,simule_base_meteofrance,358.96,1676.1,526.91,,,0.121,-0.004,1.75,55.7,13.19,13.09,13.49,13.35,12.95,357.21,356.54,355.7,353.2,344.87,0.121,0.021,0.421,0.281,-0.119
1995,12.94,0.937,26.0,45,706.5,simule_base_meteofrance,360.97,1691.5,518.66,12.6,3.2,-0.129,0.073,2.01,53.5,13.19,13.19,13.09,13.26,13.04,358.96,357.21,356.54,354.45,346.35,0.121,0.121,0.021,0.191,-0.029
1996,13.39,1.39,27.0,48,687.6,simule_base_meteofrance,362.74,1692.8,512.79,12.42,3.24,0.321,-0.056,1.77,59.7,12.94,13.19,13.19,13.49,13.41,360.97,358.96,357.21,355.7,347.61,-0.129,0.121,0.121,0.421,0.341
1997,13.4,1.395,25.0,57,698.6,simule_base_meteofrance,363.88,1706.0,503.33,12.39,3.28,0.331,0.138,1.14,58.6,13.39,12.94,13.19,13.09,13.27,362.74,360.97,358.96,356.54,349.31,0.321,-0.129,0.121,0.021,0.201
1998,13.34,1.345,28.0,52,688.8,simule_base_meteofrance,366.84,1713.6,490.28999999999996,12.21,3.32,0.271,0.108,2.96,60.1,13.4,13.39,12.94,13.19,13.07,363.88,362.74,360.97,357.21,351.69,0.331,0.321,-0.129,0.121,0.001
1999,13.3,1.299,29.0,46,619.1,simule_base_meteofrance,368.54,1717.6,483.06,12.07,3.37,0.231,1.045,1.7,60.4,13.34,13.4,13.39,13.19,13.35,366.84,363.88,362.74,358.96,353.2,0.271,0.331,0.321,0.121,0.281
2000,13.02,1.017,30.0,54,608.7,simule_base_meteofrance,369.71,1719.9,476.29,12.08,3.41,-0.049,0.878,1.17,57.8,13.3,13.34,13.4,12.94,13.26,368.54,366.84,363.88,360.97,354.45,0.231,0.271,0.331,-0.129,0.191
2001,13.28,1.28,27.0,46,769.9,simule_base_meteofrance,371.32,1731.9,470.21,12.09,3.45,0.211,0.601,1.61,59.1,13.02,13.3,13.34,13.39,13.49,369.71,368.54,366.84,362.74,355.7,-0.049,0.231,0.271,0.321,0.421
2002,13.31,1.313,27.0,44,684.5,simule_base_meteofrance,373.45,1748.9,465.12,11.8,3.49,0.241,0.759,2.13,59.6,13.28,13.02,13.3,13.4,13.09,371.32,369.71,368.54,363.88,356.54,0.211,-0.049,0.231,0.331,0.021
2003,15.01,3.012,48.0,53,680.1,simule_base_meteofrance,375.98,1754.1,443.44,11.69,3.53,1.941,0.636,2.53,93.6,13.31,13.28,13.02,13.34,13.19,373.45,371.32,369.71,366.84,357.21,0.241,0.211,-0.049,0.271,0.121
2004,13.39,1.385,26.0,42,670.3,simule_base_meteofrance,377.7,1755.8,440.33000000000004,11.64,3.57,0.321,0.482,1.72,60.3,15.01,13.31,13.28,13.3,13.19,375.98,373.45,371.32,368.54,358.96,1.941,0.241,0.211,0.231,0.121
2005,13.54,1.541,30.0,39,713.7,simule_base_meteofrance,379.98,1764.5,436.14,11.75,3.61,0.471,0.237,2.28,64.8,13.39,15.01,13.31,13.02,12.94,377.7,375.98,373.45,369.71,360.97,0.321,1.941,0.241,-0.049,-0.129
2006,13.92,1.925,29.0,50,801.3,simule_base_meteofrance,382.09,1765.8,427.05,11.73,3.66,0.851,-0.462,2.11,68.9,13.54,13.39,15.01,13.28,13.39,379.98,377.7,375.98,371.32,362.74,0.471,0.321,1.941,0.211,0.321
